year;month;day;tmax;tmin;prcp
2010;01;05;NaN;NaN;    0  
2010;01;07;NaN;NaN;    0  
2010;01;12;NaN;NaN;    0  
2010;01;14;NaN;NaN;    0  
2010;01;15;NaN;NaN;    0  
2010;01;18;NaN;NaN;    0  
2010;01;19;NaN;NaN;    0  
2010;01;20;NaN;NaN;    0  
2010;01;21;NaN;NaN;    0  
2010;01;22;NaN;NaN;    0  
2010;01;23;NaN;NaN;    0  
2010;01;25;NaN;NaN;    0  
2010;01;26;NaN;NaN;    0  
2010;01;27;NaN;NaN;    0  
2010;01;28;NaN;NaN;    0  
2010;01;29;NaN;NaN;    0  
2010;01;30;  278  ;  145  ;    0  
2010;02;02;  273  ;  144  ;    0  
2010;02;03;  241  ;  144  ;    0  
2010;02;06;NaN;NaN;    0  
2010;02;07;NaN;NaN;    0  
2010;02;09;NaN;NaN;    0  
2010;02;11;  297  ;  134  ;    0  
2010;02;13;NaN;NaN;    0  
2010;02;20;NaN;NaN;    0  
2010;02;23;  299  ;  107  ;    0  
2010;02;25;NaN;NaN;    0  
2010;03;02;NaN;NaN;    0  
2010;03;04;NaN;NaN;    0  
2010;03;05;  321  ;  142  ;    0  
2010;03;06;NaN;NaN;    0  
2010;03;09;NaN;NaN;    0  
2010;03;10;  345  ;  168  ;    0  
2010;03;11;NaN;NaN;    0  
2010;03;12;NaN;NaN;    0  
2010;03;13;NaN;NaN;    0  
2010;03;16;  311  ;  176  ;    0  
2010;03;17;NaN;NaN;    0  
2010;03;19;NaN;NaN;    0  
2010;03;20;NaN;NaN;    0  
2010;03;23;NaN;NaN;    0  
2010;03;26;NaN;NaN;    0  
2010;03;27;NaN;NaN;    0  
2010;03;30;NaN;NaN;    0  
2010;04;01;NaN;NaN;    0  
2010;04;03;NaN;NaN;    0  
2010;04;06;NaN;NaN;    0  
2010;04;27;  363  ;  167  ;    0  
2010;04;30;NaN;NaN;    0  
2010;05;04;NaN;NaN;    0  
2010;05;06;NaN;NaN;    0  
2010;05;08;NaN;NaN;    0  
2010;05;11;NaN;NaN;    0  
2010;05;13;NaN;NaN;    0  
2010;05;18;NaN;NaN;    0  
2010;05;20;NaN;NaN;    0  
2010;05;27;  332  ;  182  ;    0  
2010;05;29;NaN;NaN;   25  
2010;05;30;NaN;NaN;    0  
2010;06;01;NaN;NaN;    0  
2010;06;02;NaN;NaN;    0  
2010;06;03;NaN;NaN;    0  
2010;06;04;NaN;NaN;    0  
2010;06;05;NaN;NaN;    0  
2010;06;08;NaN;NaN;   13  
2010;06;09;NaN;NaN;  203  
2010;06;10;NaN;NaN;    0  
2010;06;11;NaN;NaN;    0  
2010;06;12;NaN;NaN;    0  
2010;06;15;NaN;NaN;    0  
2010;06;16;NaN;NaN;    0  
2010;06;17;  280  ;  175  ;    0  
2010;06;18;NaN;NaN;    0  
2010;06;19;NaN;NaN;    0  
2010;06;20;NaN;NaN;  145  
2010;06;21;NaN;NaN;    0  
2010;06;22;NaN;NaN;  234  
2010;06;24;NaN;NaN;    0  
2010;06;25;NaN;NaN;   13  
2010;06;26;NaN;NaN;   18  
2010;06;27;NaN;NaN;    0  
2010;06;28;NaN;NaN;    0  
2010;06;29;  301  ;  180  ;    0  
2010;06;30;NaN;NaN;    0  
2010;07;03;  286  ;  175  ;  307  
2010;07;04;NaN;NaN;    0  
2010;07;06;NaN;NaN;   76  
2010;07;07;NaN;NaN;    0  
2010;07;13;NaN;NaN;    0  
2010;07;14;  299  ;  165  ;    0  
2010;07;15;NaN;NaN;    0  
2010;07;16;NaN;NaN;    0  
2010;07;17;NaN;NaN;  147  
2010;07;18;NaN;NaN;    0  
2010;07;20;NaN;NaN;    5  
2010;07;21;NaN;NaN;    0  
2010;07;22;NaN;NaN;   58  
2010;07;23;NaN;NaN;    0  
2010;07;27;NaN;NaN;    0  
2010;07;28;NaN;NaN;   43  
2010;07;29;NaN;NaN;    0  
2010;07;30;NaN;NaN;  112  
2010;07;31;NaN;NaN;    0  
2010;08;05;  296  ;  158  ;   38  
2010;08;06;NaN;NaN;    5  
2010;08;08;  290  ;  173  ;  239  
2010;08;09;NaN;NaN;    0  
2010;08;10;NaN;NaN;  180  
