;year;month;day;tmax;tmin;prcp
0;2010;1;5;;;0
1;2010;1;7;;;0
2;2010;1;12;;;0
3;2010;1;14;;;0
4;2010;1;15;;;0
5;2010;1;18;;;0
6;2010;1;19;;;0
7;2010;1;20;;;0
8;2010;1;21;;;0
9;2010;1;22;;;0
10;2010;1;23;;;0
11;2010;1;25;;;0
12;2010;1;26;;;0
13;2010;1;27;;;0
14;2010;1;28;;;0
15;2010;1;29;;;0
16;2010;1;30;278.0;145.0;0
17;2010;2;2;273.0;144.0;0
18;2010;2;3;241.0;144.0;0
19;2010;2;6;;;0
20;2010;2;7;;;0
21;2010;2;9;;;0
22;2010;2;11;297.0;134.0;0
23;2010;2;13;;;0
24;2010;2;20;;;0
25;2010;2;23;299.0;107.0;0
26;2010;2;25;;;0
27;2010;3;2;;;0
28;2010;3;4;;;0
29;2010;3;5;321.0;142.0;0
30;2010;3;6;;;0
31;2010;3;9;;;0
32;2010;3;10;345.0;168.0;0
33;2010;3;11;;;0
34;2010;3;12;;;0
35;2010;3;13;;;0
36;2010;3;16;311.0;176.0;0
37;2010;3;17;;;0
38;2010;3;19;;;0
39;2010;3;20;;;0
40;2010;3;23;;;0
41;2010;3;26;;;0
42;2010;3;27;;;0
43;2010;3;30;;;0
44;2010;4;1;;;0
45;2010;4;3;;;0
46;2010;4;6;;;0
47;2010;4;27;363.0;167.0;0
48;2010;4;30;;;0
49;2010;5;4;;;0
50;2010;5;6;;;0
51;2010;5;8;;;0
52;2010;5;11;;;0
53;2010;5;13;;;0
54;2010;5;18;;;0
55;2010;5;20;;;0
56;2010;5;27;332.0;182.0;0
57;2010;5;29;;;25
58;2010;5;30;;;0
59;2010;6;1;;;0
60;2010;6;2;;;0
61;2010;6;3;;;0
62;2010;6;4;;;0
63;2010;6;5;;;0
64;2010;6;8;;;13
65;2010;6;9;;;203
66;2010;6;10;;;0
67;2010;6;11;;;0
68;2010;6;12;;;0
69;2010;6;15;;;0
70;2010;6;16;;;0
71;2010;6;17;280.0;175.0;0
72;2010;6;18;;;0
73;2010;6;19;;;0
74;2010;6;20;;;145
75;2010;6;21;;;0
76;2010;6;22;;;234
77;2010;6;24;;;0
78;2010;6;25;;;13
79;2010;6;26;;;18
80;2010;6;27;;;0
81;2010;6;28;;;0
82;2010;6;29;301.0;180.0;0
